skill_name,video_title,video_id,views,likes,keyword_score
box and whisker,Box and whisker plot exercise example | Data and statistics | 6th grade | Khan Academy,,0,0,2
box and whisker,Constructing a box and whisker plot | Probability and Statistics | Khan Academy,,0,0,2
box and whisker,Learn How to Use Pixar in a Box with Your Students,,0,0,1
box and whisker,Another example constructing box plot | Data and statistics | 6th grade | Khan Academy,,0,0,1
box and whisker,Drew Houston - CEO and Founder of Dropbox | Entrepreneurship | Khan Academy,,0,0,1
box and whisker,Surface area of a box using nets,,0,0,1
box and whisker,Surface area of a box,,0,0,1
box and whisker,"Comparing dot plots, histograms, and box plots | Data and statistics | 6th grade | Khan Academy",,0,0,1
box and whisker,Pixar in a Box | Welcome to Pixar in a Box | Khan Academy,,0,0,1
box and whisker,Getting to 10 by filling boxes | Basic addition and subtraction | Early Math | Khan Academy,,0,0,1
circle graph,Graphing a circle from its standard equation | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Features of a circle from its graph | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Graphing circles from features | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Reading inverse values from a graph,,0,0,1
circle graph,Multiplying complex numbers graphically example: -1-i | Precalculus | Khan Academy,,0,0,1
circle graph,Multiplying complex numbers graphically example: -3i | Precalculus | Khan Academy,,0,0,1
circle graph,Thin-layer chromatography (TLC) | Intermolecular forces and properties | AP Chemistry | Khan Academy,,0,0,1
circle graph,Interpreting trigonometric graphs in context | Trigonometry | Algebra || | Khan Academy,,0,0,1
circle graph,Graph labels and scales | Modeling | Algebra II | Khan Academy,,0,0,1
circle graph,Radians as ratio of arc length to radius | Circles | High school geometry | Khan Academy,,0,0,1
histogram as table or graph,Slope and intercept meaning from a table | Linear equations & graphs | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Calculating slope from tables | Linear equations & graphs | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Graphing a parabola with a table of values | Quadratic equations | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Reading inverse values from a graph,,0,0,1
histogram as table or graph,Be Like Sal: 3 Ways a Tablet Can Energize Your Digital Teaching!,,0,0,1
histogram as table or graph,Example: Graphing y=-cos(π⋅x)+1.5 | Trigonometry | Algebra 2 | Khan Academy,,0,0,1
histogram as table or graph,Example: Graphing y=3⋅sin(½⋅x)-2 | Trigonometry | Algebra 2 | Khan Academy,,0,0,1
histogram as table or graph,Column chromatography | Intermolecular forces and properties | AP Chemistry | Khan Academy,,0,0,1
